Rank,Reg.No,GPA,Prov Field,Pref
1,E/15/287,3.95,Mech,1
2,E/15/161,3.9,Civil,1
3,E/15/371,3.8,Elect,1
4,E/15/085,3.8,Civil,1
5,E/15/131,3.8,Comp,1
6,E/15/296,3.75,Elect,1
7,E/15/336,3.75,Elect,1
8,E/15/269,3.75,Chem,1
9,E/15/286,3.7,Elect,1
10,E/15/368,3.7,Mech,1
11,E/15/157,3.7,Elect,1
12,E/15/220,3.7,Comp,1
13,E/15/403,3.7,Elect,1
14,E/15/335,3.65,Elect,1
15,E/15/179,3.65,Comp,1
16,E/15/391,3.6,Elect,1
17,E/15/186,3.6,Civil,1
18,E/15/259,3.6,Elect,1
19,E/15/138,3.6,Comp,1
20,E/15/099,3.6,Chem,1
21,E/15/316,3.6,Comp,1
22,E/15/146,3.6,Elect,1
23,E/15/084,3.55,Elect,1
24,E/15/257,3.55,Elect,1
25,E/15/158,3.55,Elect,1
26,E/15/140,3.5,Comp,1
27,E/15/275,3.5,Civil,1
28,E/15/184,3.5,Prod,1
29,E/15/244,3.5,Civil,1
30,E/15/280,3.5,Comp,1
31,E/15/350,3.5,Comp,1
32,E/15/090,3.5,Civil,1
33,E/15/288,3.45,Elect,1
34,E/15/377,3.45,Elect,1
35,E/15/407,3.45,Elect,1
36,E/15/359,3.45,Elect,1
37,E/15/238,3.4,Comp,1
38,E/15/390,3.4,Elect,1
39,E/15/383,3.4,Comp,1
40,E/15/065,3.4,Comp,1
41,E/15/104,3.4,Elect,1
42,E/15/404,3.4,Elect,1
43,E/15/263,3.4,Mech,1
44,E/15/054,3.4,Chem,1
45,E/15/180,3.4,Comp,1
46,E/15/268,3.35,Elect,1
47,E/15/224,3.35,Elect,1
48,E/15/150,3.35,Civil,1
49,E/15/228,3.35,Civil,1
50,E/15/116,3.35,Prod,1
51,E/15/233,3.35,Comp,1
52,E/15/051,3.35,Elect,1
53,E/15/025,3.35,Elect,1
54,E/15/240,3.35,Civil,1
55,E/15/173,3.35,Comp,1
56,E/15/183,3.35,Mech,1
57,E/15/124,3.35,Elect,1
58,E/15/182,3.3,Civil,1
59,E/15/112,3.3,Elect,1
60,E/15/284,3.3,Civil,1
61,E/15/246,3.3,Comp,1
62,E/15/110,3.3,Elect,1
63,E/15/222,3.3,Prod,1
64,E/15/277,3.25,Elect,1
65,E/15/294,3.25,Elect,1
66,E/15/069,3.25,Civil,1
67,E/15/115,3.25,Civil,1
68,E/15/035,3.25,Mech,1
69,E/15/083,3.25,Elect,1
70,E/15/160,3.25,Elect,1
71,E/15/174,3.25,Elect,1
72,E/15/265,3.25,Comp,1
73,E/15/189,3.2,Elect,1
74,E/15/305,3.2,Elect,1
75,E/15/024,3.2,Elect,1
76,E/15/121,3.2,Mech,1
77,E/15/154,3.2,Comp,1
78,E/15/202,3.2,Comp,1
79,E/15/247,3.2,Elect,1
80,E/15/229,3.2,Elect,1
81,E/15/120,3.2,Elect,1
82,E/15/285,3.2,Elect,1
83,E/15/214,3.2,Civil,1
84,E/15/101,3.2,Elect,1
85,E/15/188,3.15,Comp,1
86,E/15/338,3.15,Elect,1
87,E/15/262,3.15,Elect,1
88,E/15/393,3.15,Civil,1
89,E/15/209,3.15,Comp,1
90,E/15/087,3.15,Elect,1
91,E/15/223,3.15,Elect,1
92,E/15/264,3.15,Civil,1
93,E/15/352,3.15,Civil,1
94,E/15/362,3.15,Comp,1
95,E/15/230,3.15,Prod,1
96,E/15/363,3.15,Comp,1
97,E/15/349,3.15,Comp,1
98,E/15/137,3.15,Elect,1
99,E/15/356,3.15,Elect,1
100,E/15/388,3.15,Civil,1
101,E/15/185,3.15,Civil,1
102,E/15/387,3.15,Elect,1
103,E/15/063,3.15,Elect,1
