Rank,Reg.No,GPA,Prov Field,Pref
1,E/17/064,3.95,Mech,1
2,E/17/234,3.95,Elect,1
3,E/17/058,3.95,Comp,1
4,E/17/369,3.9,Comp,1
5,E/17/173,3.9,Elect,1
6,E/17/190,3.9,Comp,1
7,E/17/290,3.85,Elect,1
8,E/17/154,3.85,Comp,1
9,E/17/119,3.8,Chem,1
10,E/17/296,3.8,Comp,1
11,E/17/245,3.8,Elect,1
12,E/17/205,3.8,Elect,1
13,E/17/194,3.75,Comp,1
14,E/17/315,3.75,Elect,1
15,E/17/077,3.75,Elect,1
16,E/17/394,3.7,Elect,1
17,E/17/289,3.7,Elect,1
18,E/17/349,3.7,Civil,1
19,E/17/380,3.65,Comp,1
20,E/17/170,3.65,Elect,1
21,E/17/146,3.65,Elect,1
22,E/17/044,3.65,Comp,1
23,E/17/098,3.6,Elect,1
24,E/17/218,3.6,Elect,1
25,E/17/121,3.55,Elect,1
26,E/17/090,3.55,Comp,1
27,E/17/384,3.55,Elect,1
28,E/17/407,3.55,Comp,1
29,E/17/089,3.5,Elect,1
30,E/17/195,3.5,Chem,1
31,E/17/207,3.5,Comp,1
32,E/17/031,3.5,Mech,1
33,E/17/316,3.5,Elect,1
34,E/17/352,3.5,Comp,1
35,E/17/312,3.5,Comp,1
36,E/17/034,3.45,Elect,1
37,E/17/382,3.45,Chem,1
38,E/17/347,3.45,Elect,1
39,E/17/047,3.45,Elect,1
40,E/17/144,3.45,Comp,1
41,E/17/331,3.4,Comp,1
42,E/17/388,3.4,Mech,1
43,E/17/201,3.4,Comp,1
44,E/17/277,3.4,Elect,1
45,E/17/122,3.4,Comp,1
46,E/17/199,3.4,Elect,1
47,E/17/148,3.4,Comp,1
48,E/17/240,3.4,Comp,1
49,E/17/035,3.4,Mech,1
50,E/17/084,3.35,Elect,1
51,E/17/297,3.35,Comp,1
52,E/17/100,3.35,Comp,1
53,E/17/400,3.35,Elect,1
54,E/17/158,3.35,Chem,1
55,E/17/219,3.35,Comp,1
56,E/17/078,3.35,Elect,1
57,E/17/085,3.35,Elect,1
58,E/17/398,3.35,Comp,1
59,E/17/284,3.35,Comp,1
60,E/17/341,3.35,Civil,1
61,E/17/356,3.35,Comp,1
62,E/17/040,3.35,Comp,1
63,E/17/379,3.35,Comp,1
64,E/17/206,3.35,Comp,1
65,E/17/072,3.3,Comp,1
66,E/17/262,3.3,Elect,1
67,E/17/230,3.3,Comp,1
68,E/17/153,3.3,Comp,1
69,E/17/120,3.3,Elect,1
70,E/17/256,3.3,Comp,1
71,E/17/246,3.3,Comp,1
72,E/17/101,3.3,Comp,1
73,E/17/111,3.3,Civil,1
74,E/17/091,3.3,Comp,1
75,E/17/412,3.3,Civil,1
76,E/17/175,3.3,Civil,1
77,E/17/241,3.3,Elect,1
78,E/17/038,3.3,Comp,1
79,E/17/099,3.25,Elect,1
80,E/17/342,3.25,Comp,1
81,E/17/027,3.25,Comp,1
82,E/17/292,3.25,Comp,1
83,E/17/138,3.25,Elect,1
84,E/17/171,3.25,Civil,1
