regNo, githubUsername, siteName, active
E/14/009, HishanIndrajith, hishan, False
E/14/154, shyaman, shyamanj, False
E/14/158, gihanjayatilaka, gihan, True
E/14/262, SanojPunchihewa, sanoj, False
E/14/302, hiruna72, hirunas, True
E/14/305, chandimab, chandimab, True
E/14/317, AnjanaSenanayake, anjanasenanayake, True
E/14/379, harshana95, harshana, True
E/15/316, imsuneth, imsuneth, False
E/14/237, punk95, pankayaraj, True
E/15/092, imeshekanayake, imesh, True
E/16/369, thusharakart, rusiru, True
